School ID,School Name,Borough,Building Code,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Start Time,End Time,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested,language_classes,# of Language Classes,online_language_courses,# of online language courses,advancedplacement_courses,# of ap courses,online_ap_courses,# of online ap courses,extracurricular_activities,# of extracurriculars,psal_sports_boys,# of boys sports,psal_sports_girls,# of girls sports,psal_sports_coed,# of coed sports
02M280,Manhattan Early College School for Advertising,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.71068,-74.00081,718-935-3477  ,8:30 AM,3:45 PM,97,15.50%,32.00%,43.30%,7.20%,,,,,,0,,0,,0,,0,"Advertising Competition, Advertising Industry Council,  After-school Tutoring, Student Government, Saturday Academy, Additional clubs  as determined by student interest",6,"Baseball, Basketball, Bowling, Cross Country, Handball,  Indoor Track, Outdoor Track, Volleyball, Wrestling ",9,"Basketball, Bowling, Cross Country, Handball, Indoor Track,  Outdoor Track, Softball, Tennis, Volleyball & JV Volleyball  ",9,,0
02M282,Urban Assembly Maker Academy,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.70934,-74.0053,718-935-3442,9:00 AM,3:45 PM,103,9.70%,24.30%,45.60%,10.70%,,,,,Spanish Native Language Arts,1,,0,,0,,0,"Student Advisory Council, Peer Tutoring, Peer  Mediation, PM and Saturday School, Maker Club, Coders Club, National Honor  Society, Robotics, Design Competitions such as Startup Weekend EDU Teens",9,"Baseball, Basketball, Bowling, Cross Country, Handball,  Indoor Track, Outdoor Track, Volleyball, Wrestling",9,"Basketball, Bowling, Cross Country, Handball, Indoor Track,  Outdoor Track, Softball, Tennis, Volleyball & JV Volleyball  ",9,,0
02M288,Food and Finance High School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-2943,7:40 AM,2:30 PM,427,3.00%,39.60%,52.20%,4.70%,428,435,421,52.00%,Spanish,1,,0,"English Language and Composition, Environmental Science, United States Government and Politics, United States History",4,,0,"4-H, Anime, Arts, Baking, Cornell Nutrition, Drama; Educated and Aware Teens Who Inspire Smart Eating (EATWISE), Entrepreneurship, Gay/Straight Alliance, Guitar, National Honor Society, Peer Mediation/Conflict Resolution, Poetry, ProStart, Saturday Academy, Scholarship, School Newsletter, SkillsUSA, Step Dance, Student Government, Technology, Weight Training, Yearbook, Youth Leadership, Youth-run Business",24,"Baseball, Basketball & JV Basketball, Handball, Soccer, Volleyball",5,"Basketball & JV Basketball, Handball, JV Softball",3,"Bowling, Tennis",2
02M294,Essex Street Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-475-4773,8:00 AM,2:45 PM,358,11.70%,38.50%,41.30%,5.90%,395,411,387,78.90%,"French, Spanish",2,,0,Spanish Language and Culture,1,,0,"After-school and Saturday Program: Homework help in every subject provided by teachers three days a week until 5:00 PM; Other opportunities include: Capoeira, Community Service, Student Newpaper, Fitness, Swimming, Music, Big Sib Mentoring Program, Cheerleading Team, Mock Trial, Step Team, Student Government, Theater, Weight Room, Yearbook, Yoga",15,"Baseball, Basketball, Bowling, Volleyball",4,"Basketball, Bowling, Tennis, Volleyball",4,,0
02M296,High School of Hospitality Management,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-1819,9:00 AM,3:45 PM,424,1.70%,21.00%,71.20%,5.00%,451,433,424,56.20%,Italian,1,,0,"English Literature and Composition, United States History",2,,0,"Book, Chess, Culinary Arts, Digital Learning, Drama, Event Planning, Field Trips to Colleges, Fitness Training, Pilates, Running, Graphic Arts, Guitar, Hydroponics Program, Internships in the Hospitality Industry, Junior Advisor Mentors, Saturday Regents Program, School Newspaper, Student Government, Explorers Program, Movie Night, Studio Art, Talent and Fashion Show, Yearbook, National Honor Society",24,"Baseball, Basketball & JV Basketball, Soccer, Tennis, Volleyball",5,"Basketball & JV Basketball, Soccer, Tennis, Volleyball",4,"Bowling, Handball",2
02M298,Pace High School,Manhattan,M131,100 Hester Street,Manhattan,NY,10002,40.71641,-73.99268,212-334-4663,9:00 AM,3:15 PM,423,1.90%,28.10%,45.40%,13.70%,430,435,427,87.80%,Spanish,1,,0,"Calculus AB, Environmental Science, United States History",3,"Biology, Chemistry, Chinese Language and Culture, English Language and Composition, United States History, World History",6,"Academic Tutorials, Advisory Debates, After-school Tutorials and Homework Help, Amnesty International, Bridge Running, Community Service, Cheerleading, Caribbean Dance Team, Dramatic Arts Electives, Gay Straight Alliance, Hip-Hop, Literary Magazine, Mentorships, Music, National Honor Society, Poetry Out Loud, Science, Chess, Spanish National Honor Society, Step, Student Expositions, Student Government Organization, Student-designed Web/Literary Publications, Technology, Anime/Video Game, Wellness Center, Yearbook, YMCA Youth Leadership/Youth and Government, YMCA sports: Dance, Martial Arts, Swimming; Girls Who Code, SAT Prep",32,Basketball & JV Basketball,1,"Basketball, Outdoor Track, Softball & JV Softball, Volleyball & JV Volleyball",4,Cross Country,1
02M300,Urban Assembly School of Design and Construction,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-586-0981,8:00 AM,3:15 PM,414,3.40%,29.50%,59.20%,6.00%,445,417,403,60.60%,"German, Spanish",2,,0,"Calculus AB, English Language and Composition, English Literature and Composition, Spanish Language and Culture, United States Government and Politics, United States History, World History",7,,0,"After-school Field Trips and Office Tours, After-school and Summer Design programs, Community Service, Chess, Drama, Fashion, Anime, International Travel Opportunities, Peer Tutoring, Photo and Media, SAT Preparation, Student Government Association, Weight Training, Yoga",14,"Baseball, Basketball & JV Basketball, Bowling, Handball, Soccer, Volleyball",6,"Basketball & JV Basketball, Handball, Volleyball",3,"Bowling, Cross Country, Tennis",3
02M303,Facing History School,Manhattan,M535,525 West 50th Street,Manhattan,NY,10019,40.76503,-73.99252,212-757-2680,8:35 AM,3:00 PM,406,2.20%,27.30%,67.50%,1.70%,366,356,371,57.30%,Spanish,1,,0,"English Literature and Composition, United States History",2,,0,"After-School Tutoring, Art Crew, Photography, Poetry, Visual Arts, Audio, Dance, Drumming; Cheerleading, Community Service, Conflict Resolution, Gay-Straight Alliance, HUSO, School Government, Tech Crew, Unity (Girls Club), Finance, Chess; Additional clubs are created based on student interest",17,"Baseball, Basketball & JV Basketball, Bowling, Cross Country, Soccer, Volleyball",6,"Basketball, Bowling, Handball, Soccer, Softball, Volleyball",6,,0
02M305,Urban Assembly Academy of Government and Law,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0745,8:32 AM,3:45 PM,329,2.70%,41.90%,49.20%,5.80%,389,395,381,80.80%,Spanish,1,,0,"English Literature and Composition, Microeconomics, Spanish Language and Culture, United States History",4,,0,"Student Government, Art, Basketball, Cheerleading, Soccer, Music, Weight Room, Law Team, Freaks and Geeks, Senior Committee, Mentoring, Soccer, Tutoring",13,"Baseball, Basketball, Bowling, Handball, Volleyball",5,"Basketball, Bowling, Tennis, Volleyball",4,,0
02M308,Lower Manhattan Arts Academy,Manhattan,M445,350 Grand Street,Manhattan,NY,10002,40.71687,-73.98953,212-505-0143,8:30 AM,3:00 PM,383,3.10%,28.20%,56.90%,8.60%,418,428,415,65.10%,Spanish,1,,0,"Calculus AB, Physics B",2,"English Language and Composition, Spanish Language and Culture",2,"LoMA students are required to participate in two days of extracurricular activities or tutoring a week; Chorus, Chimera Concept Dance Team, LoMA Theatre Ensemble, New York Cares Volunteer Group, Student Government, After School of Rock, Studio Art, Yearbook, Cheerleading, Chess, Ultimate Frisbee, Photography, Cosmetology, Theatre Tech, Yoga, Weight room",16,"Baseball, Basketball, Bowling, Handball, Soccer, Volleyball",6,"Basketball, Bowling, Handball, Tennis, Volleyball",5,,0
02M316,Urban Assembly School of Business for Young Women,Manhattan,M282,26 Broadway,Manhattan,NY,10004,40.70523,-74.01332,212-668-0169,8:35 AM,3:30 PM,405,2.20%,52.80%,39.30%,3.50%,418,420,417,75.00%,Spanish,1,,0,"Chemistry, Spanish Language and Culture, United States History",3,Chemistry,1,"Business Trips, Community Service, Dance, Digital Photography, Power Luncheons, PSAT and SAT Preparation, Step Team, Student Government, The Urban Assembly School of Business for Young Women (UASBYW) Mentoring Program, Travel, Yearbook, Yoga, Etiquette",13,,0,Basketball,1,,0
02M374,Gramercy Arts High School,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-7076,8:15 AM,3:30 PM,530,5.80%,42.50%,44.20%,3.60%,446,459,455,79.60%,Italian,1,,0,,0,,0,"Union Square Partnership, Fitness, Debate, Model UN, National Honor Society, Vineyard Theatre, School Plays and Musicals, Arts Shows, Dance",9,"Baseball, Basketball, Soccer, Softball, Volleyball",5,,0,,0
02M376,NYC iSchool,Manhattan,M615,131 Avenue of the Americas,Manhattan,NY,10013,40.72435,-74.00476,917-237-7300,9:00 AM,4:00 PM,442,28.70%,19.90%,39.80%,8.60%,518,515,503,96.00%,"French, Spanish",2,,0,"Biology, Calculus AB, Calculus BC, Chemistry, Comparative Government and Politics, English Language and Composition, English Literature and Composition, United States Government and Politics, United States History",9,,0,"Yearbook, iCare Community Service, Debate Team, Drama, Rock Band, Jazz Band, iNews, Green Roof Team, Model UN, Poetry, Book, Student Government; additional clubs will be formed based on student interest",12,"Baseball, Basketball & JV Basketball, Outdoor Track",3,"Basketball & JV Basketball, Outdoor Track, Softball",3,"Bowling, Cross Country, Handball",3
02M392,Manhattan Business Academy,Manhattan,M440,351 West 18th Street,Manhattan,NY,10011,40.74289,-74.00213,212-647-1983,8:30 AM,3:15 PM,438,3.90%,28.10%,62.10%,3.40%,410,407,399,69.70%,Spanish,1,"French, Spanish",2,Statistics,1,,0,"Burton Chill Programs: Snowboarding (Winter) and Surfing (Summer), Hudson Sailing, Student Ambassadors, Student Council, Dance Team, Hula Hoop",6,"Baseball, Basketball & JV Basketball, Soccer, Tennis, Volleyball, Wrestling",6,"Basketball & JV Basketball, Soccer, Softball, Tennis, Volleyball",5,Bowling,1
02M393,Business of Sports School,Manhattan,M625,439 West 49th Street,Manhattan,NY,10019,40.76336,-73.99051,212-246-2183,8:50 AM,3:30 PM,449,1.60%,35.40%,59.50%,2.20%,395,386,371,67.50%,Spanish,1,"French, Spanish",2,"English Language and Composition, Environmental Science, United States Government and Politics",3,,0,"College Guidance, Computer Tech, Dance, Future Business Leaders of America (FBLA), Internships, Journalism, Music, Navy JROTC, Photography, SAT Prep, School Store, Student Government, Visual Art",13,"Baseball & JV Baseball, Basketball & JV Basketball",2,"Basketball, Softball",2,"Bowling, Handball, Outdoor Track",3
02M399,High School for Language and Diplomacy,Manhattan,M460,40 Irving Place,Manhattan,NY,10003,40.73552,-73.9876,212-253-2480,8:00 AM,3:30 PM,437,5.70%,20.40%,40.30%,31.10%,446,433,411,70.20%,"American Sign Language, Arabic, Chinese (Mandarin), French, Japanese, Spanish",6,,0,"Biology, Calculus BC, Chinese Language and Culture, English Literature and Composition, Environmental Science, United States History",6,,0,"IRIS Literary Magazine, Chess, Japanese, Journalism, Model UN, Peer Mediation, Service, Student Government, MOUSE Squad, Tutoring, Yearbook, Girls A capella",12,"Baseball, Basketball, Handball, Soccer, Volleyball & JV Volleyball",5,"Basketball & JV Basketball, Softball, Volleyball",3,Outdoor Track,1
02M400,High School for Environmental Studies,Manhattan,M834,444 West 56th Street,Manhattan,NY,10019,40.76776,-73.98751,212-262-8113,8:15 AM,3:00 PM,1301,6.60%,14.70%,62.90%,15.10%,469,454,444,74.00%,"French, Italian, Spanish",3,,0,"Biology, Calculus AB, Calculus BC, English Language and Composition, English Literature and Composition, Environmental Science, Macroeconomics, Physics B, Spanish Language and Culture, Spanish Literature and Culture, United States Government and Politics, United States History, World History",13,"Human Geography, Microeconomics",2,"Art, Badminton, Board Games, Envirothon, Fantasy Science Fiction, Leadership Class, Literature, Marketing/Public Relations, Model UN, Multicultural Issues, National Honor Society (Arista), Photography, Student Government, Weight Training, Yearbook, YES, Yoga",17,"Baseball, Basketball, Cross Country, Soccer, Softball, Tennis, Volleyball",7,"Basketball, Cross Country, Handball, Soccer, Softball, Tennis, Volleyball",7,,0
02M407,Institute for Collaborative Education,Manhattan,M475,345 East 15th Street,Manhattan,NY,10003,40.73249,-73.98305,212-475-7972,8:00 AM,3:00 PM,482,56.50%,14.10%,14.90%,5.80%,501,550,541,78.60%,Spanish,1,,0,,0,,0,"Big Sibs/Little Sibs Peer Mentoring, Advisory System, Chemistry, Chess, College Bound, Craftmatics, Dance, Japanese Appreciation, Leadership, Literary Magazine, Mathletes, Music, NeuroScience Brain Bee, New York Urban Debate League, Ethnomusicology, Film Studies, Outdoors Experience, Performance Perspectives, Photography, Songwriting, Studio Art, Technology, Think College Now, Youth Media",24,Basketball,1,Basketball,1,,0
02M408,Professional Performing Arts High School,Manhattan,M017,328 West 48th Street,Manhattan,NY,10036,40.76143,-73.98802,212-247-8652,8:15 AM,3:30 PM,536,42.90%,26.20%,22.30%,2.50%,496,520,516,72.20%,Spanish,1,,0,"Biology, English Literature and Composition",2,,0,"School Newpaper, AIDS Walk, Assembly Committee, Audition Coaching, Black Box Theatre Productions, Chess, College Tutoring, Community Service, Drama, Film/TV, Full-scale Musical Production, Gay/Straight Alliance (GSA), Learning Center Activities, Peer Mentoring, Peer Tutoring, Photography, SAT Preparation, Science Lab Internships, Social Action Committee, Student Council, Yearbook and Debate Team",21,,0,,0,,0
02M411,Baruch College Campus High School,Manhattan,M874,55 East 25th Street,Manhattan,NY,10010,40.74405,-73.99148,212-683-7440,8:20 AM,2:50 PM,451,22.80%,6.20%,14.90%,54.80%,592,526,531,94.30%,Spanish,1,"Chinese, Spanish",2,"Biology, Calculus AB, Comparative Government and Politics, English Literature and Composition, United States History",5,,0,"A Capella, After-school Open Help Sessions (in all academic areas), Amnesty International, Art, Community Service, Debate, Drama, Film, Gay-Straight Alliance (GSA), International Exchange, Lorax (Environmental Club), Model UN, Music, National Honor Society (NHS), Peer Tutoring, Rap, Red Cross, School Newspaper, Senior Mentors, Student Government, UNICEF, Writing, Yearbook",23,"Baseball, Basketball & JV Basketball, Soccer",3,"Basketball, Fencing, Soccer, Softball, Volleyball",5,Wrestling,1
02M412,NYC Lab School for Collaborative Studies,Manhattan,M070,333 West 17th Street,Manhattan,NY,10011,40.7421,-74.00207,212-691-6119,8:00 AM,2:50 PM,587,46.00%,6.00%,15.50%,27.60%,595,550,555,79.80%,Spanish,1,,0,"Biology, Calculus AB, Calculus BC, English Language and Composition, English Literature and Composition, Psychology, Spanish Language and Culture, Statistics, United States Government and Politics, United States History",10,,0,"Asian Cultural Club, Black Alliance, Chorus, Classic Literature, Dance, Feminist Focus, Gay-Straight Alliance, Girls Learn International, Graphic Arts, Group Green Club, Instrumental Music, Jewish Cultural Club, Lab Theater Company, NY Learn Japanese, Literary Magazines, Middle East Studies, Model UN, Newspaper, Open Studio Art Workshops, Peer Advisors, Photography, Stand Up to Bullying, Social Action, Student Ambassadors, Student Government, Student Publications, Tech Team",27,"Baseball, Basketball, Cross Country, Golf, Indoor Track, Soccer",6,"Basketball, Cross Country, Indoor Track, Soccer, Softball, Tennis, Volleyball",7,,0
02M413,School of the Future High School,Manhattan,M660,127 East 22nd Street,Manhattan,NY,10010,40.73895,-73.98541,212-475-8086,8:35 AM,3:10 PM,713,35.90%,11.70%,30.40%,14.40%,534,533,522,89.90%,Spanish,1,Spanish,1,"English Language and Composition, Environmental Science, United States History",3,,0,"Extended Day Program: Arts, Technology, and Academic Enrichment, After-school Tutoring, Rooftop Garden, Studio Art, Band, Dance, Theater; Clubs: Debate Team, Chorus, Drama, Yearbook, Gay-Straight Alliance, Student Senate, Ski & Snowboard, School Newspaper, Photography, Science, Girls Club, Knitting, The MOTH storytellers",21,"Baseball, Basketball & JV Basketball, Soccer, Volleyball",4,"Basketball & JV Basketball, Soccer, Softball, Volleyball",4,,0
02M414,NYC Museum School,Manhattan,M070,333 West 17th Street,Manhattan,NY,10011,40.7421,-74.00207,212-675-6206,8:15 AM,2:45 PM,471,12.10%,12.70%,39.70%,34.20%,560,530,522,90.00%,"Japanese, Spanish",2,,0,"Biology, English Literature and Composition, United States History",3,,0,"Chess, Drama, Environmental, Find Your Voice acting and playwriting workshops, Glamour Gals, Hudson Sailing program, Music, Night of Excellence semi-annual presentations, Photography, Student Government and Activities Council, Yearbook design",11,"Baseball, Basketball, Golf, Indoor Track, Soccer",5,"Basketball, Golf, Indoor Track, Soccer, Softball, Tennis, Volleyball",7,Cross Country,1
02M416,Eleanor Roosevelt High School,Manhattan,M855,411 East 76th Street,Manhattan,NY,10021,40.77012,-73.95338,212-772-1220,8:30 AM,3:30 PM,541,61.40%,4.40%,10.90%,20.10%,641,617,631,86.00%,"French, Spanish",2,Chinese (Mandarin),1,"Art History, Biology, Calculus AB, Chemistry, Comparative Government and Politics, English Literature and Composition, European History, Macroeconomics, Music Theory, Spanish Literature and Culture, Statistics, Studio Art: 3-D Design, United States History, World History",14,,0,"Black History Month Celebration, CANstruction, Chamber Music Society, Cheerleading, Chess, Dance, Debate, Drama, ElRo Ambassadors, ElRo Sibs, Fed Challenge, Film, Gay-Straight Alliance, Glee, Green Team, Human Rights, Jazz Ensemble, Law Team, Making a Difference, Math, Model UN, National Honor Society, 'Pawprint' Online Newspaper, Peer Tutoring, Philosophy, Recording and Sound Engineering Group, Student Government, Student Movement Against Cancer (SMAC), Technology, World Quest, Wounded Warrior Fashion Show, Zumba",32,"Baseball, Basketball, Football & JV Football, Outdoor Track, Soccer, Tennis",6,"Basketball, Football, Outdoor Track, Soccer, Softball, Tennis, Volleyball",7,,0
02M418,Millennium High School,Manhattan,M824,75 Broad Street,Manhattan,NY,10004,40.70492,-74.01151,212-825-9008,8:30 AM,3:00 PM,659,32.80%,7.60%,18.20%,38.40%,577,560,567,94.00%,"Chinese (Mandarin), Spanish",2,,0,"Calculus AB, English Language and Composition, English Literature and Composition, United States History",4,,0,"American Sign Language, Animal Protection, Art Therapy, Best Buddies, Chess, Cooking, Dance Team, Drama, Greek Culture, Green Team (environmental awareness and action), Fitness, Foreign Exchange Program (two or more yearly trips), Gay-Straight Alliance, Knitting, Latin, Literary Magazine, Model UN, Newspaper, Photography, School of Rock (after-school music program), Senior Officers, Shakespeare Monologue Competition, Student Government & Ethics (SGE), Trinity Choristers, Yoga",25,"Baseball, Basketball, Soccer",3,"Basketball, Swimming",2,"Cross Country, Fencing, Soccer",3
